Name,Positions,Playtime,Goals,Assists,ShotsAveragePerGame,PassSuccess
Giacomo Bonaventura,",  M(CLR)  ",933	,3	,-	,2.3	,86.4	
Tetê,",  AM(R)  ",879	,5	,2	,1.9	,82.1	
Philip Billing,",  M(C)  ",1143	,4	,1	,0.9	,77	
Jordi Masip,",  GK  ",810	,-	,-	,-	,64.3	
Guglielmo Vicario,",  GK  ",1350	,-	,-	,-	,66.8	
Wojciech Szczesny,",  GK  ",763	,-	,-	,-	,67.1	
Youssouf Fofana,",  DMC  ",1166	,1	,-	,1.1	,81.7	
Youcef Atal,",  D(R),M(R)  ",623	,1	,-	,0.8	,83.5	
Christoph Baumgartner,",  AM(CLR),FW  ",1157	,4	,2	,2.6	,72	
Bremer,",  D(C)  ",1127	,1	,-	,0.8	,91	
Filip Kostic,",  M(LR),FW  ",1072	,1	,5	,0.9	,80.5	
Raphinha,",  AM(LR),FW  ",570	,2	,2	,2	,79.4	
Joachim Andersen,",  D(C)  ",1170	,1	,-	,0.6	,81	
Pascal Groß,",  M(CR),FW  ",1197	,5	,2	,1.2	,77.5	
Cristiano Biraghi,",  D(L),M(L)  ",1143	,-	,2	,0.9	,78.3	
Éder Militão,",  D(CR)  ",912	,3	,-	,0.7	,88.3	
Solly March,",  M(CLR)  ",1219	,-	,2	,1.9	,76.7	
Moisés Caicedo,",  DMC  ",1248	,1	,-	,0.8	,87.3	
Rominigue Kouamé,",  M(C)  ",1238	,-	,1	,1	,88.3	
Tomás Soucek,",  DMC  ",1309	,1	,1	,1.1	,76.9	
Mory Diaw,",  GK  ",1350	,-	,-	,-	,62.3	
Lucas Tousart,",  DMC  ",1248	,2	,-	,1.4	,65.6	
Moses Simon,",  M(CLR),FW  ",1103	,5	,2	,1.5	,74.1	
Marc-André ter Stegen,",  GK  ",1260	,-	,-	,-	,83.8	
Timo Werner,",  AM(CLR),FW  ",649	,4	,1	,3	,74.7	
Giorgos Kyriakopoulos,",  D(L),M(L)  ",728	,1	,1	,1.1	,81.6	
Éric Ebimbe,",  M(CR)  ",711	,2	,1	,1.2	,72	
Nicolas Pépé,",  AM(LR),FW  ",922	,4	,-	,3	,83	
Borna Sosa,",  D(L),M(L)  ",880	,-	,5	,0.7	,79.8	
David Raya,",  GK  ",1350	,-	,-	,-	,63.2	
Adrien Truffert,",  D(L),M(L)  ",1117	,-	,4	,0.5	,80.4	
Marc Oliver Kempf,",  D(C)  ",1296	,-	,-	,0.3	,77.7	
Federico Dimarco,",  D(CL),M(L)  ",1052	,3	,-	,1.5	,78.1	
Chris Smalling,",  D(CR)  ",1322	,3	,-	,0.6	,88.2	
Álvaro García,",  AM(L)  ",1103	,3	,1	,1.5	,72.8	
Sergio Busquets,",  DMC  ",910	,-	,1	,0.2	,89.1	
Jackson Porozo,",  D(C)  ",959	,2	,-	,1.5	,82	
Mark Flekken,",  GK  ",1350	,-	,-	,-	,71.6	
Iker Muniain,",  AM(CLR)  ",793	,-	,1	,1.6	,87.8	
Emiliano Martínez,",  GK  ",1295	,-	,-	,-	,68.7	
Raphaël Guerreiro,",  D(L),M(CL)  ",1035	,1	,2	,0.9	,85.3	
Hirving Lozano,",  AM(LR),FW  ",723	,3	,3	,1.9	,77.5	
Rasmus Kristensen,",  D(R),M(R)  ",1051	,-	,1	,0.5	,67.6	
Ionut Radu,",  GK  ",810	,-	,-	,-	,63.1	
Alexis Sánchez,",  M(CLR),FW  ",862	,5	,-	,1.9	,81.6	
Youssoufa Moukoko,",  FW  ",767	,6	,3	,1.9	,71.2	
Ben White,",  D(CR),DMC  ",1157	,-	,2	,0.4	,86.4	
Przemyslaw Frankowski,",  M(CLR)  ",1009	,-	,2	,1.2	,82.7	
Borja Iglesias,",  FW  ",965	,8	,2	,2.4	,73.5	
Reinildo,",  D(CL),M(L)  ",1239	,-	,-	,0.2	,86.9	
Paul Joly,",  D(R)  ",867	,-	,-	,0.7	,81.1	
Copete,",  D(C)  ",1001	,-	,-	,0.3	,80.7	
David da Costa,",  AM(CL)  ",996	,1	,3	,1.3	,84.3	
Roberto Pereyra,",  M(CLR),FW  ",1297	,1	,5	,1.1	,83.5	
Merih Demiral,",  D(C)  ",1074	,1	,-	,0.4	,83.1	
Mikel Vesga,",  DMC  ",924	,2	,2	,0.9	,82	
Olivier Giroud,",  FW  ",769	,5	,3	,2.9	,63.3	
Mohamed Camara,",  DMC  ",802	,-	,-	,0.9	,90.1	
Aarón Martín,",  D(L),M(L)  ",1246	,3	,2	,0.8	,83.5	
Nikola Milenkovic,",  D(CR)  ",836	,2	,1	,0.5	,84.9	
Marquinhos,",  D(CR),DMC  ",1104	,1	,-	,0.7	,95.1	
Benoît Badiashile,",  D(C)  ",839	,2	,-	,0.5	,86.1	
Alexander Nübel,",  GK  ",1350	,-	,-	,-	,67.1	
Suat Serdar,",  M(CLR)  ",978	,3	,-	,0.9	,71.9	
Oliver Baumann,",  GK  ",1350	,-	,-	,-	,80.2	
Destiny Udogie,",  M(L)  ",964	,2	,1	,0.7	,82	
Chancel Mbemba,",  D(CLR),DMC  ",1306	,1	,-	,0.7	,85.1	
Davide Frattesi,",  DMC  ",1221	,4	,-	,2	,77.1	
Chimy Avila,",  AM(LR),FW  ",846	,6	,1	,2.3	,60.2	
Deiver Machado,",  M(L)  ",1014	,1	,1	,0.5	,88	
Julian Ryerson,",  D(R),M(CLR)  ",1042	,-	,-	,1.2	,73.5	
Joe Willock,",  M(C)  ",1121	,2	,2	,1.7	,85.6	
Alexander Djiku,",  D(CR),DMC  ",1181	,1	,1	,0.7	,82.2	
Timothy Castagne,",  D(CLR),M(LR)  ",1192	,1	,2	,0.6	,80.6	
Hamza Sakhi,",  AM(C)  ",1199	,1	,1	,1.4	,87.3	
Nick Pope,",  GK  ",1350	,-	,-	,-	,53.5	
Ismaily,",  D(L)  ",968	,2	,1	,0.8	,79.3	
Christopher Lenz,",  D(L),M(L)  ",469	,-	,2	,0.7	,81.1	
Kingsley Coman,",  M(LR),FW  ",529	,1	,3	,1.6	,85.4	
André Almeida,",  M(C)  ",708	,2	,2	,0.7	,85.8	
Ademola Lookman,",  AM(CLR),FW  ",864	,7	,1	,1.6	,79.8	
Exequiel Palacios,",  M(C)  ",567	,1	,1	,0.7	,85.9	
Nicolas Höfler,",  D(C),DMC  ",1296	,-	,1	,0.5	,84.7	
Wladimiro Falcone,",  GK  ",1350	,-	,-	,-	,49.8	
Neto Borges,",  D(L),M(L)  ",994	,1	,-	,0.9	,80.3	
Simone Bastoni,",  D(L),DMC,M(L)  ",811	,2	,2	,1.5	,69.5	
Sandro Tonali,",  DMC  ",1030	,1	,2	,1.3	,76.8	
Carlos Augusto,",  D(L),M(L)  ",1222	,3	,1	,1.3	,85.1	
Junior Messias,",  AM(CR),FW  ",717	,2	,1	,1.4	,74.8	
James Ward-Prowse,",  M(CR)  ",1350	,1	,2	,0.8	,83.2	
Bryan Cristante,",  D(C),M(C)  ",1241	,1	,-	,0.9	,81.9	
Christian Kouamé,",  AM(LR),FW  ",1012	,2	,2	,1.6	,73.7	
Mason Mount,",  M(CLR)  ",1038	,2	,2	,1.6	,80.7	
Franck Honorat,",  M(LR),FW  ",1166	,2	,1	,1.3	,73.1	
William Saliba,",  D(C)  ",1246	,2	,1	,0.2	,92.1	
Dani Olmo,",  AM(CLR),FW  ",534	,1	,2	,1.6	,79.7	
Dominic Solanke,",  FW  ",1078	,3	,3	,1.9	,72.5	
Kevin Gameiro,",  FW  ",1068	,5	,-	,1.7	,80.6	
Moi Gómez,",  M(CLR)  ",1147	,1	,1	,0.7	,86.9	
Gabriel Strefezza,",  M(LR)  ",897	,4	,-	,1.5	,65.6	
