Name,Positions,Playtime,Goals,Assists,ShotsAveragePerGame,PassSuccess
Ado Onaiwu,",  Forward  ",279	,-	,1	,0.6	,78.2	
Francisco Portillo,",  M(CLR)  ",196	,-	,-	,-	,81.8	
Gonzalo Villar,",  DMC  ",659	,-	,-	,0.1	,84.3	
Delano Burgzorg,",  AM(L)  ",204	,-	,1	,0.4	,78.9	
Fabio Quagliarella,",  FW  ",324	,-	,-	,1.4	,70	
Portu,",  M(CLR),FW  ",378	,-	,-	,0.5	,79.2	
Carlos Vinícius,",  FW  ",325	,-	,-	,0.6	,58.6	
Karamoko Dembele,",  Forward  ",92	,-	,-	,0.4	,67.4	
Abdón Prats,",  FW  ",130	,-	,-	,0.5	,76.5	
Oier Zarraga,",  M(CR)  ",219	,-	,-	,0.8	,87.2	
Irvin Cardona,",  AM(L),FW  ",225	,-	,-	,0.4	,58.9	
Kévin Biakolo,",  Midfielder  ",298	,-	,-	,0.1	,80.9	
Patrick Herrmann,",  M(LR),FW  ",107	,1	,-	,0.5	,70	
Mikael Ellertsson,",  Midfielder  ",164	,-	,-	,0.2	,64.9	
