Name,Positions,AveragePasses,Crosses,LongBalls,ThroughBalls
Iker Muniain,",  AM(CLR)  ",43.1	,1.1	,1.2	,0.2	
Emiliano Martínez,",  GK  ",29	,-	,6.1	,0.1	
Raphaël Guerreiro,",  D(L),M(CL)  ",54	,0.6	,1.5	,0.1	
Hirving Lozano,",  AM(LR),FW  ",14.9	,0.6	,0.1	,-	
Rasmus Kristensen,",  D(R),M(R)  ",40.6	,0.5	,1.1	,-	
Ionut Radu,",  GK  ",33.1	,-	,5.6	,-	
Alexis Sánchez,",  M(CLR),FW  ",26.7	,0.1	,1.2	,0.1	
Youssoufa Moukoko,",  FW  ",9.4	,-	,0.1	,0.1	
Ben White,",  D(CR),DMC  ",54	,0.4	,1.8	,0.1	
Przemyslaw Frankowski,",  M(CLR)  ",34	,1.4	,1.5	,-	
Borja Iglesias,",  FW  ",16.2	,-	,0.3	,0.2	
Reinildo,",  D(CL),M(L)  ",48.6	,0.3	,1.3	,-	
Paul Joly,",  D(R)  ",53.4	,0.8	,5.4	,-	
Copete,",  D(C)  ",32.3	,-	,3.1	,-	
David da Costa,",  AM(CL)  ",30.6	,0.2	,0.7	,-	
Roberto Pereyra,",  M(CLR),FW  ",36.3	,0.5	,1.4	,-	
Merih Demiral,",  D(C)  ",30.5	,-	,2.2	,-	
Mikel Vesga,",  DMC  ",44.1	,0.2	,3.1	,-	
Olivier Giroud,",  FW  ",13.6	,-	,-	,-	
Mohamed Camara,",  DMC  ",38.7	,0.1	,2.5	,0.1	
Aarón Martín,",  D(L),M(L)  ",29.9	,1.8	,1.6	,-	
Nikola Milenkovic,",  D(CR)  ",45.1	,-	,2.9	,-	
Marquinhos,",  D(CR),DMC  ",55.6	,-	,2.1	,-	
Benoît Badiashile,",  D(C)  ",42.5	,-	,3.9	,-	
Alexander Nübel,",  GK  ",25.5	,-	,7.6	,-	
Suat Serdar,",  M(CLR)  ",22.4	,0.1	,1.1	,-	
Oliver Baumann,",  GK  ",39.7	,-	,6.5	,-	
Destiny Udogie,",  M(L)  ",30.7	,-	,0.8	,-	
Chancel Mbemba,",  D(CLR),DMC  ",50.4	,0.1	,2.4	,-	
Davide Frattesi,",  DMC  ",26.8	,-	,1.9	,0.1	
Chimy Avila,",  AM(LR),FW  ",16.2	,0.9	,1.6	,-	
Deiver Machado,",  M(L)  ",22.5	,0.7	,0.5	,-	
Julian Ryerson,",  D(R),M(CLR)  ",26.1	,0.7	,1.2	,0.1	
Joe Willock,",  M(C)  ",26.9	,0.5	,1.3	,-	
Alexander Djiku,",  D(CR),DMC  ",53.6	,0.1	,6	,-	
Timothy Castagne,",  D(CLR),M(LR)  ",40.8	,0.6	,1.1	,0.1	
Hamza Sakhi,",  AM(C)  ",40.4	,0.9	,5.1	,0.2	
Nick Pope,",  GK  ",18.8	,-	,4.1	,-	
Ismaily,",  D(L)  ",45.5	,0.2	,0.5	,-	
Christopher Lenz,",  D(L),M(L)  ",22.9	,1	,1.1	,-	
Kingsley Coman,",  M(LR),FW  ",26.6	,0.4	,0.8	,0.1	
André Almeida,",  M(C)  ",29.5	,0.4	,0.8	,0.1	
Ademola Lookman,",  AM(CLR),FW  ",16.9	,0.5	,0.2	,0.1	
Exequiel Palacios,",  M(C)  ",36.1	,0.2	,1.1	,-	
Nicolas Höfler,",  D(C),DMC  ",41.4	,-	,1.5	,-	
Wladimiro Falcone,",  GK  ",28.7	,-	,6.1	,-	
Neto Borges,",  D(L),M(L)  ",34.7	,1	,0.8	,-	
Simone Bastoni,",  D(L),DMC,M(L)  ",27.1	,1.5	,0.8	,0.1	
Sandro Tonali,",  DMC  ",34.8	,0.8	,2.9	,0.1	
Carlos Augusto,",  D(L),M(L)  ",41.3	,-	,0.8	,0.1	
Junior Messias,",  AM(CR),FW  ",21.6	,0.1	,0.7	,0.1	
James Ward-Prowse,",  M(CR)  ",50.8	,2.1	,2.1	,-	
Bryan Cristante,",  D(C),M(C)  ",48.9	,0.2	,3.7	,0.1	
Christian Kouamé,",  AM(LR),FW  ",23.9	,0.6	,0.8	,-	
Mason Mount,",  M(CLR)  ",31.8	,0.9	,1.3	,0.1	
Franck Honorat,",  M(LR),FW  ",25.3	,2.3	,0.8	,-	
William Saliba,",  D(C)  ",67.1	,0.1	,2.6	,-	
Dani Olmo,",  AM(CLR),FW  ",25.6	,0.2	,0.6	,0.6	
Dominic Solanke,",  FW  ",14	,-	,0.2	,-	
Kevin Gameiro,",  FW  ",27.9	,0.3	,0.4	,0.2	
Moi Gómez,",  M(CLR)  ",38.9	,1.5	,3.4	,0.1	
Gabriel Strefezza,",  M(LR)  ",18.8	,0.8	,1.6	,0.1	
Raúl Albiol,",  D(C)  ",60.1	,-	,5.2	,-	
Junya Ito,",  AM(LR),FW  ",20.8	,0.8	,0.3	,0.3	
Trent Alexander-Arnold,",  D(R),M(R)  ",54.6	,2.1	,4.6	,0.1	
Jesper Lindstrøm,",  AM(CR),FW  ",16.1	,0.2	,0.1	,0.1	
Manuel Neuer,",  GK  ",35.2	,-	,5.9	,-	
Philipp Hofmann,",  FW  ",19.1	,-	,0.1	,-	
Marko Arnautovic,",  AM(CLR),FW  ",24.5	,0.1	,0.5	,-	
Valentin Rongier,",  D(R),M(C)  ",54.6	,0.1	,2.1	,-	
Luigi Sepe,",  GK  ",31.7	,-	,5.9	,-	
Ermedin Demirovic,",  AM(L),FW  ",15.7	,0.3	,-	,0.1	
Matthijs de Ligt,",  D(C)  ",52.2	,-	,1.8	,-	
Edgar González,",  D(C),DMC  ",39.1	,-	,2	,-	
Georginio Rutter,",  FW  ",9.8	,0.1	,0.5	,-	
Danilo Pereira,",  D(C),DMC  ",45.7	,-	,1.9	,-	
Mario Götze,",  M(CLR),FW  ",47.1	,0.4	,1	,0.4	
Jonathan Gradit,",  D(CR)  ",59.4	,0.1	,2.6	,-	
Mërgim Berisha,",  AM(C),FW  ",13.5	,1.3	,0.4	,-	
Morten Hjulmand,",  DMC  ",31.9	,-	,2.3	,-	
Matteo Politano,",  AM(CLR),FW  ",19.4	,0.5	,1	,0.1	
Tammy Abraham,",  FW  ",14.8	,0.1	,0.6	,0.1	
Armel Bella-Kotchap,",  D(C)  ",37.6	,-	,2.1	,-	
Ridle Baku,",  D(R),M(CR)  ",40.3	,0.5	,2.7	,0.1	
Angeliño,",  D(L),M(L)  ",33.9	,2.3	,1.8	,-	
Sven Botman,",  D(C)  ",43.6	,-	,3.3	,-	
Etienne Capoue,",  D(C),M(CL)  ",44.8	,-	,1.3	,0.1	
David Soria,",  GK  ",25.5	,-	,9.6	,-	
Manu Koné,",  DMC  ",46.2	,-	,1	,-	
Rúben Dias,",  D(C)  ",74.5	,-	,1.9	,-	
Nicolò Rovella,",  DMC  ",65.1	,0.5	,5.6	,-	
Marcus Rashford,",  AM(CLR),FW  ",21.7	,0.3	,0.9	,0.1	
William Carvalho,",  DMC  ",49.5	,0.1	,1.8	,0.2	
Neco Williams,",  D(LR),M(LR)  ",26.8	,0.9	,1.7	,0.1	
Boulaye Dia,",  AM(R),FW  ",14.7	,0.1	,0.4	,0.1	
Folarin Balogun,",  FW  ",12.5	,0.1	,0.1	,0.1	
Andrew Robertson,",  D(L),M(L)  ",52.2	,2.3	,1.3	,-	
Gédéon Kalulu,",  D(R)  ",39.2	,0.3	,1.6	,-	
